#Please import the downloaded file into Excel 2007 or above version
Family	Family_type	Sequence_Acc	Domains	Sequence_Annotation
SBP	transcription factor	Potra2n555s35938.1	IPR004333	protein AED:0.15 eAED:0.15 QI:792|1|1|1|0.66|0.5|4|561|323
SBP	transcription factor	Potra2n555s35938.2	IPR004333	protein AED:0.11 eAED:0.11 QI:1121|1|1|1|1|1|3|561|323
Hap3/NF-YB	transcription factor	Potra2n197s34855.1	IPR009072	protein AED:0.12 eAED:0.12 QI:347|1|1|1|0.77|0.8|10|1218|624
Hap3/NF-YB	transcription factor	Potra2n197s34855.2	IPR009072	protein AED:0.07 eAED:0.07 QI:347|1|1|1|0.87|0.88|9|1689|624
Hap3/NF-YB	transcription factor	Potra2n197s34855.3	IPR009072	protein AED:0.37 eAED:0.37 QI:0|1|0.85|1|0.83|0.85|7|0|388
AP2-EREBP	transcription factor	Potra2n197s34858.1	IPR001471	protein AED:0.09 eAED:0.09 QI:272|0.87|0.77|1|0.75|0.77|9|671|590
AP2-EREBP	transcription factor	Potra2n197s34858.2	IPR001471	protein AED:0.11 eAED:0.11 QI:272|1|1|1|0.75|0.88|9|671|563
AP2-EREBP	transcription factor	Potra2n197s34858.3	IPR001471	protein AED:0.11 eAED:0.11 QI:272|1|1|1|1|1|8|671|560
GRAS	transcription factor	Potra2n197s34862.1	IPR005202	protein AED:0.29 eAED:0.29 QI:0|-1|0|1|-1|1|1|0|558
MYB-HB-like	transcription factor	Potra2n197s34857.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.11 eAED:0.11 QI:341|1|1|1|1|1|3|301|197
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n197s34860.3	IPR014977,IPR014978	protein AED:0.22 eAED:0.22 QI:515|1|1|1|0.75|0.6|5|101|345
C2H2	transcription factor	Potra2n197s34863.1	IPR001841	protein AED:0.53 eAED:0.50 QI:0|0.25|0.33|0.66|1|1|9|0|480
TIFY	transcription factor	Potra2n197s34889.1	IPR010399	protein AED:0.11 eAED:0.11 QI:262|1|1|1|0.8|0.66|6|585|265
TIFY	transcription factor	Potra2n197s34889.2	IPR010399	protein AED:0.09 eAED:0.09 QI:316|1|1|1|1|1|5|585|265
SNF2	chromatin remodeling	Potra2n9c19061.1	IPR000330	protein AED:0.24 eAED:0.25 QI:0|0.57|0.62|0.87|0.71|0.5|8|0|882
SNF2	chromatin remodeling	Potra2n9c19061.2	IPR000330	protein AED:0.21 eAED:0.22 QI:0|0.42|0.37|0.87|0.57|0.25|8|0|974
WD40-like	transcription factor	Potra2n414s35577.1	IPR001680,IPR017986	protein AED:0.26 eAED:0.61 QI:0|0|0|1|1|1|2|0|428
CCHC(Zn)	transcription factor interactor and regulator	Potra2n550s35920.1	IPR001878,IPR012337	protein AED:0.34 eAED:0.10 QI:0|0|0|0.5|1|1|2|0|430
C2H2	transcription factor	Potra2n475s35761.1	IPR001841,IPR018957	protein AED:0.25 eAED:0.25 QI:0|-1|0|1|-1|1|1|0|295
SNF2	chromatin remodeling	Potra2n636s36239.1	IPR000330	protein AED:0.14 eAED:0.13 QI:231|0.83|0.71|1|0.83|0.85|7|0|826
SNF2	chromatin remodeling	Potra2n636s36239.2	IPR000330	protein AED:0.14 eAED:0.13 QI:231|0.83|0.71|1|1|1|7|0|816
PHD	chromatin regulator	Potra2n9c19070.1	IPR001841,IPR001965,IPR018957	protein AED:0.32 eAED:0.32 QI:634|1|1|1|0.5|0.2|5|578|437
MYB-HB-like	transcription factor	Potra2n9c19094.1	IPR001005,IPR009057,IPR017884	protein AED:0.29 eAED:0.36 QI:390|0|0.5|1|1|1|2|0|111
MYB/SANT	transcription factor	Potra2n9c19094.1	IPR001005,IPR009057,IPR017884	protein AED:0.29 eAED:0.36 QI:390|0|0.5|1|1|1|2|0|111
CCHC(Zn)	transcription factor interactor and regulator	Potra2n556s35949.1	IPR001878	protein AED:0.37 eAED:0.37 QI:0|1|0.5|1|0|0|2|135|424
LisH	transcription factor interactor and regulator	Potra2n6c12839.1	IPR001680,IPR006594,IPR017986	protein AED:0.09 eAED:0.09 QI:297|0.94|0.94|1|0.82|0.77|18|2745|1965
WD40-like	transcription factor	Potra2n6c12839.1	IPR001680,IPR006594,IPR017986	protein AED:0.09 eAED:0.09 QI:297|0.94|0.94|1|0.82|0.77|18|2745|1965
LisH	transcription factor interactor and regulator	Potra2n6c12839.2	IPR001680,IPR006594,IPR017986	protein AED:0.09 eAED:0.09 QI:297|1|1|1|0.81|0.76|17|2745|1945
WD40-like	transcription factor	Potra2n6c12839.2	IPR001680,IPR006594,IPR017986	protein AED:0.09 eAED:0.09 QI:297|1|1|1|0.81|0.76|17|2745|1945
LisH	transcription factor interactor and regulator	Potra2n6c12839.3	IPR001680,IPR006594,IPR017986	protein AED:0.11 eAED:0.11 QI:297|1|1|1|1|1|14|2346|1945
WD40-like	transcription factor	Potra2n6c12839.3	IPR001680,IPR006594,IPR017986	protein AED:0.11 eAED:0.11 QI:297|1|1|1|1|1|14|2346|1945
LisH	transcription factor interactor and regulator	Potra2n6c12839.4	IPR001680,IPR006594,IPR017986	protein AED:0.12 eAED:0.12 QI:297|1|1|1|0.69|0.64|14|2745|1759
WD40-like	transcription factor	Potra2n6c12839.4	IPR001680,IPR006594,IPR017986	protein AED:0.12 eAED:0.12 QI:297|1|1|1|0.69|0.64|14|2745|1759
CCHC(Zn)	transcription factor interactor and regulator	Potra2n6c12831.1	IPR001878,IPR012337	protein AED:0.43 eAED:0.48 QI:0|0|0|0.28|0.83|0.71|7|0|1262
bZIP	transcription factor	Potra2n6c12860.1	IPR004827,IPR011616,IPR011700	protein AED:0.13 eAED:0.13 QI:122|1|1|1|0.83|0.71|7|1803|301
bZIP	transcription factor	Potra2n6c12860.2	IPR004827,IPR011616,IPR011700	protein AED:0.11 eAED:0.11 QI:283|1|1|1|1|1|6|1803|301
NAM	transcription factor	Potra2n6c12867.1	IPR003441	protein AED:0.36 eAED:0.36 QI:276|1|1|1|1|1|4|322|353
MYB-HB-like	transcription factor	Potra2n6c12880.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.12 eAED:0.12 QI:142|1|1|1|0.5|0.2|5|515|304
MYB-HB-like	transcription factor	Potra2n6c12880.2	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.12 eAED:0.12 QI:0|0.75|0.6|1|0.5|0.2|5|515|344
MYB-HB-like	transcription factor	Potra2n6c12880.3	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.10 eAED:0.10 QI:225|1|1|1|0.66|0.5|4|515|304
PHD	chromatin regulator	Potra2n6c12863.1	IPR001841,IPR001965,IPR011011,IPR011124,IPR019786,IPR019787	protein AED:0.27 eAED:0.27 QI:0|0.71|0.75|1|0.57|0.62|8|973|475
PHD	chromatin regulator	Potra2n6c12863.2	IPR001841,IPR001965,IPR011011,IPR011124,IPR019786,IPR019787	protein AED:0.22 eAED:0.22 QI:766|0.83|0.85|1|0.66|0.71|7|973|419
PHD	chromatin regulator	Potra2n6c12863.3	IPR001841,IPR001965,IPR011011,IPR011124,IPR019786,IPR019787	protein AED:0.20 eAED:0.20 QI:127|0.8|0.83|1|0.8|0.66|6|1752|438
PHD	chromatin regulator	Potra2n6c12863.4	IPR001841,IPR001965,IPR011011,IPR011124,IPR019786,IPR019787	protein AED:0.20 eAED:0.20 QI:766|0.8|0.83|1|0.8|0.83|6|1090|419
PHD	chromatin regulator	Potra2n6c12863.5	IPR001841,IPR001965,IPR011011,IPR011124,IPR019786,IPR019787	protein AED:0.14 eAED:0.14 QI:766|0.75|0.8|1|1|1|5|1752|438
MYB	transcription factor	Potra2n6c12849.1	IPR001005,IPR017877	protein AED:0.22 eAED:0.22 QI:0|0.5|0.66|1|0.5|0.33|3|450|477
C2H2	transcription factor	Potra2n6c12889.1	IPR001841	protein AED:0.19 eAED:0.19 QI:260|0.5|0.8|1|0|0|5|452|389
C2H2	transcription factor	Potra2n6c12889.2	IPR001841	protein AED:0.05 eAED:0.05 QI:1126|0.33|0.75|1|0|0.25|4|452|389
CCHC(Zn)	transcription factor interactor and regulator	Potra2n6c12918.1	IPR001878	protein AED:0.39 eAED:0.34 QI:307|0.8|0.83|1|0.8|0.66|6|0|225
CCHC(Zn)	transcription factor interactor and regulator	Potra2n6c12918.2	IPR001878	protein AED:0.34 eAED:0.30 QI:544|0.75|0.8|1|1|1|5|0|225
CCHC(Zn)	transcription factor interactor and regulator	Potra2n6c12918.4	IPR001878	protein AED:0.35 eAED:0.35 QI:544|1|0.66|1|1|1|3|0|138
C2H2	transcription factor	Potra2n6c12897.1	IPR001841,IPR018957	protein AED:0.23 eAED:0.23 QI:902|0.62|0.66|1|0.5|0.33|9|121|683
C2H2	transcription factor	Potra2n6c12897.2	IPR001841,IPR018957	protein AED:0.21 eAED:0.21 QI:902|1|1|1|0.8|0.66|6|668|549
C2H2	transcription factor	Potra2n6c12897.3	IPR001841,IPR018957	protein AED:0.13 eAED:0.13 QI:1818|1|1|1|1|1|5|668|549
WD40-like	transcription factor	Potra2n9c19137.1	IPR001680,IPR017986,IPR019775	protein AED:0.10 eAED:0.10 QI:219|0.95|0.95|1|0.95|0.95|23|633|782
C2H2	transcription factor	Potra2n6c12890.1	IPR007087,IPR015880	protein AED:0.26 eAED:0.26 QI:121|1|1|1|0.8|0.66|6|804|408
C2H2	transcription factor	Potra2n6c12890.2	IPR007087,IPR015880	protein AED:0.25 eAED:0.25 QI:163|1|1|1|1|1|5|804|408
WD40-like	transcription factor	Potra2n9c19137.2	IPR001680,IPR017986,IPR019775	protein AED:0.13 eAED:0.13 QI:219|0.89|0.95|1|0.94|0.95|20|633|711
RR-A-type	response regulator and putative novel transcription factor	Potra2n6c12925.1	IPR001789	protein AED:0.05 eAED:0.05 QI:510|1|1|1|0.81|0.75|12|325|1007
RR-A-type	response regulator and putative novel transcription factor	Potra2n6c12925.2	IPR001789	protein AED:0.04 eAED:0.04 QI:1568|1|1|1|0.8|0.63|11|325|682
RR-A-type	response regulator and putative novel transcription factor	Potra2n6c12925.3	IPR001789	protein AED:0.04 eAED:0.04 QI:521|1|1|1|0.9|0.81|11|325|1007
C2H2	transcription factor	Potra2n9c19143.1	IPR001841	protein AED:0.23 eAED:0.23 QI:654|1|1|1|0.75|0.66|9|483|591
C2H2	transcription factor	Potra2n9c19143.2	IPR001841	protein AED:0.19 eAED:0.19 QI:654|1|1|1|0.71|0.62|8|953|553
C2C2-CO-like	transcription factor	Potra2n6c12932.1	IPR000315,IPR010402	protein AED:0.40 eAED:0.40 QI:0|0|0|1|1|1|2|0|346
C2H2	transcription factor	Potra2n9c19143.4	IPR001841	protein AED:0.15 eAED:0.15 QI:654|1|1|1|0.83|0.71|7|1452|553
WD40-like	transcription factor	Potra2n6c12934.1	IPR017986	protein AED:0.07 eAED:0.07 QI:290|0.90|0.91|1|0.81|0.75|12|1625|736
WD40-like	transcription factor	Potra2n6c12934.2	IPR017986	protein AED:0.07 eAED:0.07 QI:290|1|1|1|0.90|0.83|12|1625|719
WD40-like	transcription factor	Potra2n6c12934.4	IPR017986	protein AED:0.19 eAED:0.19 QI:290|1|1|1|0.88|0.8|10|968|568
SAP	transcription regulator	Potra2n6c12952.1	IPR003034	protein AED:0.09 eAED:0.09 QI:189|1|1|1|0.88|0.78|19|2147|978
DDT	transcription factor & chromatin remodeling	Potra2n6c13036.1	IPR018500,IPR018501	protein AED:0.14 eAED:0.14 QI:161|1|1|1|0.92|0.85|14|833|719
DDT	transcription factor & chromatin remodeling	Potra2n6c13036.2	IPR018500,IPR018501	protein AED:0.18 eAED:0.18 QI:161|1|1|1|0.92|0.85|14|470|719
DDT	transcription factor & chromatin remodeling	Potra2n6c13036.3	IPR018500,IPR018501	protein AED:0.06 eAED:0.06 QI:161|1|1|1|0.91|0.84|13|1607|692
Homobox-WOX	transcription factor	Potra2n6c13014.1	IPR001356,IPR005540,IPR005541,IPR008422,IPR009057	protein AED:0.25 eAED:0.25 QI:466|0.57|0.75|0.87|0.85|0.75|8|0|469
Homeodomain-TALE-KNOX	transcription factor	Potra2n6c13014.1	IPR001356,IPR005540,IPR005541,IPR008422,IPR009057	protein AED:0.25 eAED:0.25 QI:466|0.57|0.75|0.87|0.85|0.75|8|0|469
WD40-like	transcription factor	Potra2n6c13032.1	IPR001680,IPR017986	protein AED:0.11 eAED:0.11 QI:0|1|0|1|0|0.5|2|0|127
bHLH	transcription factor	Potra2n6c13028.1	IPR011598	protein AED:0.26 eAED:0.32 QI:0|0.64|0.66|0.93|0.78|0.8|15|1607|494
AP2-EREBP	transcription factor	Potra2n6c12995.1	IPR001471	protein AED:0.03 eAED:0.03 QI:166|1|1|1|0.5|0.33|3|973|298
WD40-like	transcription factor	Potra2n6c13030.1	IPR001680,IPR017986	protein AED:0.42 eAED:0.47 QI:149|0.16|0.42|1|0.83|0.85|7|342|239
MADS-type1	transcription factor	Potra2n6c13026.1	IPR002100	protein AED:0.20 eAED:0.18 QI:0|0|0|1|0|0|2|0|419
PHD	chromatin regulator	Potra2n6c12987.1	IPR000330,IPR000953,IPR001841,IPR001965,IPR011011,IPR016197,IPR019786,IPR019787	protein AED:0.13 eAED:0.13 QI:206|0.90|0.93|1|0.96|0.96|32|317|1491
PHD	chromatin regulator	Potra2n6c12987.2	IPR000330,IPR000953,IPR001841,IPR001965,IPR011011,IPR016197,IPR019786,IPR019787	protein AED:0.06 eAED:0.06 QI:206|0.96|0.96|1|0.96|0.93|30|2365|1130
LisH	transcription factor interactor and regulator	Potra2n6c12974.1	IPR001680,IPR006594,IPR017986,IPR019775	protein AED:0.19 eAED:0.19 QI:230|0.94|0.94|1|0.83|0.73|19|269|658
WD40-like	transcription factor	Potra2n6c12974.1	IPR001680,IPR006594,IPR017986,IPR019775	protein AED:0.19 eAED:0.19 QI:230|0.94|0.94|1|0.83|0.73|19|269|658
LisH	transcription factor interactor and regulator	Potra2n6c12974.2	IPR001680,IPR006594,IPR017986,IPR019775	protein AED:0.19 eAED:0.19 QI:230|0.88|0.84|1|0.77|0.63|19|266|650
WD40-like	transcription factor	Potra2n6c12974.2	IPR001680,IPR006594,IPR017986,IPR019775	protein AED:0.19 eAED:0.19 QI:230|0.88|0.84|1|0.77|0.63|19|266|650
GARP-G2-like	transcription factor	Potra2n6c12988.1	IPR001005,IPR001789,IPR006447,IPR009057,IPR017053	protein AED:0.26 eAED:0.26 QI:286|0.83|0.71|1|0.66|0.71|7|0|686
RR-A-type	response regulator and putative novel transcription factor	Potra2n6c12988.1	IPR001005,IPR001789,IPR006447,IPR009057,IPR017053	protein AED:0.26 eAED:0.26 QI:286|0.83|0.71|1|0.66|0.71|7|0|686
RR-B-type	response regulator and putative novel transcription factor	Potra2n6c12988.1	IPR001005,IPR001789,IPR006447,IPR009057,IPR017053	protein AED:0.26 eAED:0.26 QI:286|0.83|0.71|1|0.66|0.71|7|0|686
GARP-G2-like	transcription factor	Potra2n6c12988.2	IPR001005,IPR001789,IPR006447,IPR009057,IPR017053	protein AED:0.07 eAED:0.07 QI:286|1|1|1|1|1|5|1822|685
RR-A-type	response regulator and putative novel transcription factor	Potra2n6c12988.2	IPR001005,IPR001789,IPR006447,IPR009057,IPR017053	protein AED:0.07 eAED:0.07 QI:286|1|1|1|1|1|5|1822|685
RR-B-type	response regulator and putative novel transcription factor	Potra2n6c12988.2	IPR001005,IPR001789,IPR006447,IPR009057,IPR017053	protein AED:0.07 eAED:0.07 QI:286|1|1|1|1|1|5|1822|685
bHLH	transcription factor	Potra2n6c12979.1	IPR011598	protein AED:0.23 eAED:0.23 QI:205|1|1|1|0.33|0.5|4|582|523
bHLH	transcription factor	Potra2n6c12979.3	IPR011598	protein AED:0.15 eAED:0.15 QI:205|1|1|1|0.5|0.66|3|1229|523
bHLH	transcription factor	Potra2n6c12979.4	IPR011598	protein AED:0.07 eAED:0.07 QI:205|1|1|1|1|1|2|1928|523
WRKY	transcription factor	Potra2n6c12972.1	IPR003657	protein AED:0.10 eAED:0.10 QI:302|1|1|1|1|1|5|399|321
